Taille, Séquence avec copie, Séquence sans copie, Ecart-type copie, Ecart-type sans copie
1,0.534,0.529,0.00899999,0.00871779
2049,14.809,14.4714,0.0254754,0.0351999
4097,30.3405,28.4128,1.40716,0.516506
6145,43.6405,42.3692,0.715243,1.05124
8193,58.2083,56.5762,1.77176,1.28855
10241,72.2659,69.9975,2.17639,0.296306
12289,86.1722,84.1565,1.68924,1.27013
14337,101.011,100.859,0.832219,5.24775
16385,116.222,113.064,1.17931,0.0739737
18433,130.982,127.533,2.50695,1.03837
20481,146.064,141.94,1.70298,0.129914
22529,158.672,156.678,0.238634,2.24249
24577,174.535,169.992,1.9495,0.991456
26625,199.212,195.166,22.7575,17.2112
28673,204.614,200.335,2.10411,2.62032
30721,218.627,216.545,0.842277,4.38714
32769,228.037,234.223,11.3815,20.1146
34817,237.799,242.278,2.38491,1.65357
36865,248.901,258.214,1.12012,2.52663
38913,275.71,282.345,16.38,22.421
